empresa,telefono,es_movil,email,sitio_web,rubro,ciudad
YPF,+54 11 4807 8463,no,,https://www.ypf.com,fuel,CABA
Shell,+54 11 4760-0356,no,,https://find.shell.com/ar/fuel/AR_10038369-tore-s-a,fuel,CABA
YPF,+54 11 4797-7481,no,,https://www.ypf.com/,fuel,CABA
Enterprise,+54 11 4811 6903,no,,https://www.enterprise.com.ar/,car_rental,CABA
Consulado General de España en Buenos Aires,+54 11 4811 0079,no,cog.buenosaires@maec.es,http://www.exteriores.gob.es/Consulados/BUENOSAIRES/es/Consulado/Paginas/inicio.aspx,diplomatic,CABA
Jardín de Infantes Nucleado D (EPCjc 08/18°) [Sede],+54 11 4674 0880,no,jind18@gmail.com,,kindergarten,CABA
Café Tortoni,+54 11 4342 4328,no,tortoni@cafetortoni.com.ar,https://www.cafetortoni.com.ar/,cafe,CABA
El Ateneo Grand Splendid,+54 11 4813 6052,no,,https://www.yenny-elateneo.com/grand-splendid,books,CABA
Instituto San Gregorio El Iluminador,+54 11 4772 8174,no,sangregorioprim@hotmail.com,,school,CABA
Cine Lorca,+54 11 4371 5017,no,,,cinema,CABA
Instituto Privado Mallinckrodt,+54 11 4811 2962,no,rectoria@colegiomallinckrodt.org.ar,,school,CABA
Los Inmortales,+54 11 4785 7770,no,,https://www.losinmortales.com/,restaurant,CABA
Los Inmortales,+54 11 4322 5493,no,,https://www.losinmortales.com/,restaurant,CABA
La Continental,+54 11 4122 1400,no,,https://www.lacontinental.com/,restaurant,CABA
Comisaría Comunal 8,+54 11 4605 2031,no,,http://www.policiadelaciudad.gob.ar/?q=content/comisar%C3%AD-comunal-8,police,CABA
Comisaría Vecinal 8-A,+54 11 4601 3333,no,,,police,CABA
Comisaría Comunal 10,+54 11 4671 4444,no,,,police,CABA
Comisaría Comunal 7,+54 11 4631 3333,no,,,police,CABA
Comisaría Vecinal 4-C,+54 11 4361 4444,no,,,police,CABA
Comisaría Vecinal 4-D,+54 11 4300 6338,no,,,police,CABA
Comisaría 32,+54 11 4911 3333,no,,,police,CABA
Comisaría Vecinal 7-C,+54 11 4581 4444,no,,,police,CABA
Comisaría Vecinal 11-B,+54 11 4501 3333,no,,,police,CABA
Comisaría Vecinal 6-A,+54 11 4982 4509,no,,,police,CABA
Comisaría Vecinal 5-B,+54 11 4922 3333,no,,,police,CABA
Comisaría Vecinal 3-A,+54 11 4961 3333,no,,,police,CABA
Comisaría 25,+54 11 4832 3333,no,,,police,CABA
Comisaría Vecinal 2-B,+54 11 4822 3333,no,,,police,CABA
Comisaría Vecinal 14-A,+54 11 4823 3333,no,,,police,CABA
