empresa,cuit,telefono,localidad,provincia,tel_util
(J & M) SEGURIDAD Y SISTEMAS S.A.,33-66446972-9,(011  )5020-4493,CABA,CIUDAD DE BUENOS AIRES,si
3COM INTERNATIONAL INC.,30-68081469-0,(011  )4331-8191,CABA,CIUDAD DE BUENOS AIRES,si
3M ARGENTINA S.A.C.I.F.I.A.,30-52999439-3,(011  )4342-2662,CABA,CIUDAD DE BUENOS AIRES,si
3TECH S.R.L.,30-70830902-4,(0221 )445 -0245,LA PLATA,BUENOS AIRES,si
3V TECH S.A.,30-71254748-7,,SAN JUSTO,BUENOS AIRES,no
A.G. SOLUTIONS S.R.L.,30-70849746-7,(03487)42  -7249,ZARATE,BUENOS AIRES,si
A.V.G. ELECTRONICA S.R.L.,30-59203634-3,(011  )4641-8113,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
A.V.H. SAN LUIS S.A.,30-61203284-6,(0266 )442 -2681,SAN LUIS,SAN LUIS,si
A1-TEC S.A.,30-70951849-2,(011  )4115-4675,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
ABASTO S.A.,30-63385955-4,,NO ESPECIFICADA,NO ESPECIFICADA,no
ABB S.A.U.,30-50394816-4,(011  )6026-5337,VALENTIN ALSINA,BUENOS AIRES,si
ABBOTT LABORATORIES ARGENTINA S.A.,30-50084630-1,,INGENIERO JUAN ALLAN,BUENOS AIRES,no
ABC 1 TECHNOLOGY S.A.,30-71045087-7,(011  )4629-9340,MORON,BUENOS AIRES,si
ABC ACCESORIOS S.R.L.,30-69291999-4,(011  )4993-6068,CABA,CIUDAD DE BUENOS AIRES,si
ABEPRO S.R.L.,30-70964044-1,(011  )4503-2516,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
ABSOLUT MOBILE S.A.,30-71222996-5,(011  )4773-7094,CABA,CIUDAD DE BUENOS AIRES,si
ACEGAME S.A.,33-68851288-9,(011  )4833-6000,CABA,CIUDAD DE BUENOS AIRES,si
ACER ARGENTINA S.A.,33-67659760-9,(011  )4766-1223,CARAPACHAY,BUENOS AIRES,si
ACERTA S.R.L.,30-71505926-2,(011  )6593-1603,CABA,CIUDAD DE BUENOS AIRES,si
ACRON S.A.,30-66178444-6,(011  )5941-2500,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
ACRONEX S.R.L.,33-71505130-9,,CABA,CIUDAD DE BUENOS AIRES,no
ADANK 9298 S.R.L.,30-71099579-2,(011  )4855-4016,CABA,CIUDAD DE BUENOS AIRES,si
ADB BROADBAND ARGENTINA S.A.,33-64328360-9,(011  )5272-1159,CABA,CIUDAD DE BUENOS AIRES,si
ADEMA S.A.,30-63949672-0,(011  )4727-0287,DON TORCUATO,BUENOS AIRES,si
ADEMCO S.R.L.,30-71602651-1,,CABA,CIUDAD DE BUENOS AIRES,no
ADIDAS ARGENTINA S.A.,30-68514022-1,(011  )4853-7159,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
ADRONSTEC S.A.,30-71479234-9,(011  )4792-7219,MARTINEZ,BUENOS AIRES,si
ADT SECURITY SERVICES S.A.,30-65663161-5,(011  )4708-7900,CABA,CIUDAD DE BUENOS AIRES,si
AFINA S.R.L.,30-70945240-8,(011  )4315-6800,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
AGCO ARGENTINA S.A.,30-50385832-7,(0237 )485 -8100,GENERAL RODRIGUEZ,BUENOS AIRES,si
AGEN S.A.,30-71085732-2,(011  )6091-7675,CABA,CIUDAD DE BUENOS AIRES,si
AGIMED S.R.L.,30-70229752-0,(011  )4573-6600,CABA,CIUDAD DE BUENOS AIRES,si
AGM MOTOS S.R.L.,30-70842230-0,(011  )4961-8947,CABA,CIUDAD DE BUENOS AIRES,si
AGUAS S.R.L.,30-58195817-6,(011  )4743-3200,SAN ISIDRO,BUENOS AIRES,si
"AGUIRRE, JULIO CESAR",20-08403200-0,(011  )4427-8539,CABA,CIUDAD DE BUENOS AIRES,si
AHF ANTENAS S.A.,30-68825461-9,(011  )4766-3916,CARAPACHAY,BUENOS AIRES,si
AIR LIQUIDE ARGENTINA S.A.,30-50085213-1,(011  )4708-2200,CABA,CIUDAD DE BUENOS AIRES,si
AIR S.R.L.,30-57013558-5,(0341 )436 -7757,ROSARIO,SANTA FE,si
"AITA, GERONIMO JOSE",20-07713515-5,(011  )4623-5156,ITUZAINGO,BUENOS AIRES,si
AITUE COMUNICA S.A.,30-71027593-5,(011  )6230-0000,CABA,CIUDAD DE BUENOS AIRES,si
AKI ASISTENCIA INTEGRAL S.A.,30-68643869-0,,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,no
AKRIBIS S.R.L.,30-70851097-8,(011  )4633-9550,CABA,CIUDAD DE BUENOS AIRES,si
ALACHA S.R.L.,30-71487594-5,(011  )4425-0044,CABA,CIUDAD DE BUENOS AIRES,si
ALADRIAN S.A.,33-61871843-9,(011  )4981-6392,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
ALBERTO CARLOS EDUARDO GARCIA COMUNICACIONES S.A.,30-58648915-8,(011  )4701-0985,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
ALBERTO DURAN VIDEO SISTEMAS,00-00000876-0,,GODOY CRUZ,MENDOZA,no
ALBERTO LEONCIO TAPIA ENIO EDUARDO ESCALANTE,30-63781951-4,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
ALCATEL-LUCENT DE ARGENTINA S.A.,30-52204115-3,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
ALCO ROSARIO S.A.,30-61250235-4,(0341 )421 -8999,ROSARIO,SANTA FE,si
ALE ARGENTINA S.R.L.,33-71462389-9,(011  )5056-9723,VICENTE LOPEZ,BUENOS AIRES,si
ALEFERDI TECNOLOGIAS S.A.,33-71160620-9,(011  )4774-1014,CABA,CIUDAD DE BUENOS AIRES,si
ALFACOM S.R.L.,30-66385808-0,(011  )4709-0433,VILLA MARTELLI,BUENOS AIRES,si
"ALHARAL, JOSE LUIS",20-11255595-2,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
ALIC S.A.,30-70893076-4,(011  )4786-1424,CABA,CIUDAD DE BUENOS AIRES,si
ALLFLEX ARGENTINA S.A.,30-70049927-4,(011  )4116-4861,CABA,CIUDAD DE BUENOS AIRES,si
ALLGON TELECOM LIMITADA SUCURSAL ARGENTINA,30-70744065-8,(011  )4334-9035,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
ALLOIS S.R.L.,30-70953321-1,(011  )4637-3360,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
ALMA AGROPECUARIA S.A.,30-71197301-6,(011  )4771-5055,CABA,CIUDAD DE BUENOS AIRES,si
"ALMEYRA, DIEGO CARLOS",23-17763535-9,(011  )4584-8430,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
ALONSO HERMANOS SIRENAS S.A.,30-66363299-6,(011  )4246-6869,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
"ALPINE ELECTRONICS OF AMERICA, INC. SUCURSAL BUENOS AIRES",30-66206875-2,,CABA,CIUDAD DE BUENOS AIRES,no
ALTA RAIL TECHNOLOGY ARGENTINA S.A.U.,30-71546410-8,(011  )4346-1000,CABA,CIUDAD DE BUENOS AIRES,si
ALTECO S.A.,30-60389677-3,(011  )4774-1492,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
ALTEKNIA S.A.,30-66348360-5,(011  )4865-8989,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
ALTRONIC COMPANY S.R.L.,33-69097825-9,(011  )4711-5700,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
ALVIS S.A.,30-70989115-0,(011  )5578-3033,CABA,CIUDAD DE BUENOS AIRES,si
AMAZON KUIPER ARGENTINA SOCIEDAD DE RESPONSABILIDAD LIMITADA,30-71741515-5,,CAPITAL,MENDOZA,no
AMBASSADOR FUEGUINA S.A.,30-61684986-3,(011  )5775-0748,USHUAIA,"TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR",si
