empresa,telefono,ciudad,rubro
Helados Gruta,+5491147800603,CABA,ice_cream
Green,+5491145538516,CABA,pharmacy
Farmacia Brianso,+5491147870207,CABA,pharmacy
Eurolock,+5491165116191,CABA,doors
Capitán Barbería,+5491124004196,CABA,hairdresser
Librería Biblos,+5491147642746,CABA,books
Café Palacio,+5491145545529,CABA,cafe
Santos Manjares,+5491160502225,CABA,restaurant
1+1,+5493515050000,Cordoba,love_hotel
RepensarMe - Consultorio Psicologico,+5493513517423,Cordoba,doctors
Jerome Brew Pub Express Córdoba,+5493515180354,Cordoba,bar
Rockería Trashed,+153463409865,Cordoba,gift
100x100 Lomo,+5493513587200,Cordoba,restaurant
FoodLab,+5492901555060,Cordoba,fast_food
Nails & Co.,+5493517402961,Cordoba,hairdresser
Catalina Calzados,+5493515595779,Cordoba,shoemaker
Mega Salud,+5493514812233,Cordoba,centre
Farmacia Pedernera,+5493518189594,Cordoba,pharmacy
Weiss Córdoba,+5492944308892,Cordoba,fast_food
Máximo Rent a Car,+5493512297501,Cordoba,car_rental
Choripan El Luisito,+5493546407859,Cordoba,restaurant
General Paz,+5493515425470,Cordoba,pharmacy
CAPS Ciudad Ampliación Cabildo,+549351156321424,Cordoba,clinic
CAPS Panamericano,+5490351156310155,Cordoba,clinic
Centro de Salud 88 - Chacra de la Merced,+5490351156100370,Cordoba,clinic
CAPS General Savio,+549351153916636,Cordoba,clinic
Centro de Salud de Los Cedros,+5490351156626150,Cordoba,clinic
Ferretería - cerrajería San Luis,+5493512293791,Cordoba,hardware
RM Insumos,+5493512700375,Cordoba,computer
InfoNegocios,+5493516691923,Cordoba,newspaper
Olmedo Odontología & Estética,+5493514258008,Cordoba,dentist
Marosi Bikes,+5493515186032,Cordoba,bicycle
Cristóbal,+549351551491,Cordoba,hardware
Carro Carnes,+5493513152736,Cordoba,butcher
Activar,+5493516593833,Cordoba,clinic
Big Lomo,+5493516069509,Cordoba,fast_food
Guay Buby,+5493512199756,Cordoba,interior_decoration
Manaish,+5493516084161,Cordoba,fast_food
EntreSano - Supermercado Saludable,+5493512896897,Cordoba,supermarket
Mi Fauna,+5493513943873,Cordoba,veterinary
Quick Lomo,+5493517122523,Cordoba,fast_food
Alquiler Auto Aero-Cordoba,+5493512902990,Cordoba,car_rental
Ruben Libros,+5493517550085,Cordoba,books
I Farm,+5493516951525,Cordoba,pharmacy
Orvema Tostadores,+5493516329160,Cordoba,coffee
Overwild Store,+5493517697755,Cordoba,clothes
Los Santos Studio,+5492966685460,Cordoba,hairdresser
Dupes Perfumería,+5493518512014,Cordoba,perfumery
MRE Estilistas Nueva Cordoba Peluquería,+54903512652733,Cordoba,hairdresser
Fermina,+54903512407015,Cordoba,clothes
Open 24 Drugstore,+54903512356774,Cordoba,kiosk
Nutricionista Romina Seisdedos,+54903513193647,Cordoba,doctors
Mercadito El Capi,+54903513972660,Cordoba,greengrocer
Pollería Rooster,+54903516210728,Cordoba,butcher
La Panadería,+54903515471577,Cordoba,bakery
Los Gayon,+54903518152098,Cordoba,marketplace
Carniceria La Entrañita,+5490351157555740,Cordoba,butcher
Patitas del Sur,+54903516238086,Cordoba,pet
Lavandería La Lavamos Ya!,+54903512912629,Cordoba,laundry
Veterinaria Exoticos Dr Lagos - Veterinaria Mundo Bicho,+5493517060088,Cordoba,veterinary
MADERO – Espacio de eventos,+5493512885992,Cordoba,events_venue
La Fuente de Milanesas,+5493518009057,Cordoba,fast_food
eRRe,+5493516811375,Cordoba,hairdresser
Imari Omakase,+5493512586364,Cordoba,restaurant
Ópticas Lauricella,+5493512481588,Cordoba,optician
"Stock In - Mayorista Multimarcas - Lexico, Oreiro Love y muchas más.",+5493517180888,Cordoba,fashion_accessories
"Tienda Lexico - Moda y Complementos - Carteras, Mochilas, Valijas y Accesorios",+5493516698309,Cordoba,fashion_accessories
Viviana Patoco,+5493513322413,Cordoba,lighting
Malter's,+5493854403399,Cordoba,car_repair
Swiss Medical,+5491150519982,Cordoba,insurance
Monasterio de Santa Catalina de Siena,+5493513795161,Cordoba,place_of_worship
Clínica Privada Vélez Sársfield,+5493514680700,Cordoba,hospital
CAPS Ciudad de Mis Sueños,+5493516310095,Cordoba,clinic
Sanatorio Privado De La Cañada,+5493517670780,Cordoba,hospital
Host Coworking - Sede Villa Belgrano,+54935174391111,Cordoba,coworking
INTA,+5493514256414,Cordoba,government
Catedral de Córdoba. Nuestra Señora de la Asunción,+54903514223446,Cordoba,place_of_worship
Laprida Hogar,+5493513251171,Cordoba,appliance
Mercado de Sabores,+5493518149405,Cordoba,seafood
Host Comunidad de Negocios - Sede Orfeo,+5493512510222,Cordoba,coworking
Dar,+5493414471441,Rosario,supermarket
Escuela de Guardavidas Rosario,+5493413358827,Rosario,school
Krow Distribuidora,+5493417199774,Rosario,alcohol
Hiper de la Pelu,+5493412288918,Rosario,cosmetics
Nautica Río,+5493414960014,Rosario,boat
Panadería El Shaddai,+5493416175677,Rosario,bakery
La Tiendita,+5493413210263,Rosario,groundskeeping
Lucio,+5493413151342,Rosario,butcher
Kiosco L'Edicola,+5493416010162,Rosario,kiosk
Ruben Vicente,+5493416710351,Rosario,bakery
Creando Futuro ONG,+5493412641096,Rosario,ngo
Gassman Barber Shop & Peluquería,+5493415156591,Rosario,hairdresser
Tecnofrío,+5493416754627,Rosario,car_repair
Slike,+5492617700720,Mendoza,bicycle
Montecristo Muebles,+5492614151486,Mendoza,furniture
TELEDAT,+5492614241579,Mendoza,electronics
Jardín Maternal Colorines,+5492612088804,Mendoza,kindergarten
KiosKing,+5492616615393,Mendoza,supermarket
La Zona Tango,+5492615196027,Mendoza,bar
Mendoza Motors,+5492616340405,Mendoza,motorcycle
LavaSec,+5492616419388,Mendoza,laundry
Facundo Sebastianelli Peluqueros,+5492612126483,Mendoza,hairdresser
Radio FM UTN 94.5,+5492615244555,Mendoza,studio
Faoro Abogados,+5492616356274,Mendoza,lawyer
Casa de Campo eventos,+5492615121104,Mendoza,events_venue
La Primera,5494232152,Mendoza,copyshop
Academia Cisco UTN Mendoza,+5492615244576,Mendoza,college
Bodega Domaine Le Billoud,+5492615182855,Mendoza,beverages
Maipú Bikes Rental Bikes,+5492614670761,Mendoza,bicycle_rental
"Vinoteca ""La Botella""",+5492614670761,Mendoza,bar
Zona Musica,+54902613728147,Mendoza,musical_instrument
Centro veterinario ciudad,+5492616304725,Mendoza,veterinary
El Mundo de Vazagui Eventos Infantiles,+5492614172157,Mendoza,community_centre
Librería Imperial,+5492616173092,Mendoza,books
AMG — Aconcagua Mountain Guides,+5492613022436,Mendoza,travel_agency
23 Rios Craftbeer,+5492615261046,Mendoza,bar
Club Cell,+5492613407075,Mendoza,mobile_phone
Servi Auto,+5492616624248,Mendoza,car_repair
GuardaTODO Mendoza,+5492612438787,Mendoza,storage_rental
Johnny's Pizza,+5492616117294,Mendoza,fast_food
Erina Estilista,+5492615659717,Mendoza,hairdresser
Malvinas Argentinas,+5492613842950,Mendoza,bakery
Nexonet,+5492615946354,Mendoza,company
Bicicleteria La Jungla,+5492612422177,Mendoza,bicycle
Bicicleteria OK Riders,+5492613252018,Mendoza,bicycle
Bicicleteria Bici A Punto,+5492612728218,Mendoza,bicycle
Bicicletería Las Heras Bikes,54902616174422,Mendoza,bicycle
Bicicletería Chila Taller,54902617230155,Mendoza,bicycle
Bicicletería enBICIate,54902615711660,Mendoza,bicycle
Bicicleteria JWH Bike,+5492616863735,Mendoza,bicycle
Bicicletería Todociclismo,+5492617088359,Mendoza,bicycle
Repuestos HEGO,+5492615030412,Mendoza,car_parts
Eidos,+5492612566507,Mendoza,architect
Carolino Cocina,+5492613333518,Mendoza,restaurant
Centauro,+5492612066255,Mendoza,restaurant
La Kafra,+5492615146567,Mendoza,cafe
Red Globe Tours,+5492616566566,Mendoza,guide
MDZ Rent a Car - Alquiler de Autos en Mendoza,+5492612306787,Mendoza,car_rental
El rey de la bicisenda,+5492617555002,Mendoza,bicycle
Instituto Compañía de María,+5492614254636,Mendoza,school
Claro,+5492236369309,Mar del Plata,mobile_phone
In Roma,+5492235236941,Mar del Plata,bakery
Kiosco Cervecero,+5492235162008,Mar del Plata,brewing_supplies
Optica Fava,+5492235349469,Mar del Plata,optician
Veinte777,+5492233018956,Mar del Plata,restaurant
Neumáticos Nelson,+5492236366549,Mar del Plata,car_repair
Kintu Jabones,+549223309789,Mar del Plata,cosmetics
Lo de Moretti,+549223608252,Mar del Plata,pet
Escuela Mar del Surf,+54902236000892,Mar del Plata,water_sports
Gato Coffee House,+5492236698308,Mar del Plata,cafe
La Casa del Parque,+5492235756832,Mar del Plata,cafe
Jophiel's Brew,+5492236014461,Mar del Plata,cafe
SAO Medialunas y Café,+5492233044479,Mar del Plata,cafe
Dopo,+5492235166246,Mar del Plata,restaurant
ServiTuc – Instalación de aires acondicionados,+5493815039235,San Miguel de Tucuman,hvac
Centro de Educación Básica Alternativa 1-22 (CEBA),+5493815530360,San Miguel de Tucuman,school
