empresa,email,calidad,canal_alternativo,fuente,puesto_ejemplo,ciudad
Conprove Indústria e Comércio,conprove@conprove.com.br,limpio (dominio propio),,conprove.com.br,Assistente de Materiais,Uberlândia MG
AGX Tecnologia,contato@agxsoftware.com,limpio (dominio propio),,agxsoftware.com,Agente de Atendimento,Sorocaba SP
Riberman Plásticos Industriais,com@riberman.com.br,limpio (dominio propio),,riberman.com.br/contato,Analista de Processos,Ribeirão Preto SP
Qi Network Soluções Tecnológicas,contato@qinetwork.com.br,limpio (dominio propio),,qinetwork.com.br/contato,Account Manager,Florianópolis SC
Acessoline Telecomunicações,contabil@acessoline.net.br,contabilidad (gris LGPD),,directorio (empresaqui/serasa),Analista de Almoxarifado,Florianópolis SC
Risotolândia Ind. e Com. de Alimentos,contabilidade@risotolandia.com.br,contabilidad (gris LGPD),,risotolandia.com.br,Auxiliar Administrativo,Araucária PR
Casas da Água Materiais p/ Construção,deivid.contabilidade@casasdaagua.com.br,personal/contab (gris LGPD),WhatsApp (48) 3271-3010,directorio,Atendente de Vendas,Florianópolis SC
DB Medicina Diagnóstica,ana.silveira@dbdiagnosticos.com.br,personal (gris LGPD),portal Gupy,directorio (econodata),Analista de Laboratório,Sorocaba SP
Quartzo Incorporadora,,sin email publico,WhatsApp +55 31 3010-7002 / form,vivaquartzo.com.br,Auxiliar Administrativo,Belo Horizonte MG
Carraro Logística e Transporte,,sin email publico,WhatsApp +55 41 3132-5073 / form,carrarologistica.com.br,Ajudante Geral,Votorantim/RJ
Supermercado Super do Povo,,sin email publico,ATS Solides / Indeed,vagas.solides.com.br/empresa/superdopovo,Auxiliar de Manutenção,Fortaleza CE
Sattcom Tecnologia,,no hallado,,nombre ambiguo / CNPJ baixado,Auxiliar de Refrigeração,Sorocaba SP
