pais,empresa,ciudad,email
AR,Consulado General de España en Buenos Aires,Caba,cog.buenosaires@maec.es
AR,Jardín de Infantes Nucleado D (EPCjc 08/18°) [Sede],Caba,jind18@gmail.com
AR,Café Tortoni,Caba,tortoni@cafetortoni.com.ar
AR,Instituto San Gregorio El Iluminador,Caba,sangregorioprim@hotmail.com
AR,Instituto Privado Mallinckrodt,Caba,rectoria@colegiomallinckrodt.org.ar
AR,Liceo 9 Santiago Derqui,Caba,liceo9derqui@yahoo.com.ar
AR,Café La Biela,Caba,info@labiela.com
AR,Estilo Campo,Caba,info@estilo-campo.com.ar
AR,Café Martínez,Caba,uriarte@cafemartinez.com.ar
AR,Bomberos Voluntarios de Avellaneda,Caba,avellaneda@bomberosvoluntarios.org.ar
AR,Escuela Primaria Común 22 Felix de Azara,Caba,dep_epc22_de15@bue.edu.ar
AR,Escuela Integral Interdisciplinaria 10 Alférez de Navío José María Sobral,Caba,recu10@yahoo.com.ar
AR,Escuela Primaria Común 09 Evaristo Julio Badia,Caba,esc09de10@yahoo.com.ar
AR,Escuela Primaria Común 05 Gabriela Mistral,Caba,esc05de16@gmail.com
AR,Jardín de Infantes Común 03/16° Mafalda,Caba,jic3de16@gmail.com
AR,Escuela Primaria Común 08 Jorge Angel Boero,Caba,dep_epc8_de15@bue.edu.ar
AR,Escuela Infantil 08/15º (a),Caba,jinb_de15@hotmail.com
AR,Centro Educativo de Nivel Secundario 63,Caba,deaa_cens63_de1@bue.edu.ar
AR,Café Martínez,Caba,callao498@cafemartinez.com.ar
AR,Starbucks,Caba,info@starbucks.com.ar
AR,Instituto Privado del Sindicato GBA de Obras Sanitarias,Caba,lagotitadeagua@hotmail.com
AR,Espacio INCAA KM 0 - Gaumont,Caba,espacioincaa@incaa.gov.ar
AR,Escuela Argentina Modelo,Caba,eam@eam.eam.edu.ar
AR,Establecimiento General de Café,Caba,info@estcafe.com.ar
AR,Escuela Primaria Común 05 Nicolás Rodríguez Peña,Caba,escpri5de1@gmail.com
AR,Posta,Caba,mtalvear@leble.com.ar
AR,Escuela del Mirador,Caba,secretaria@escueladelmirador.com.ar
AR,Nuestra Señora de Gracia y Buen Remedio,Caba,ingybr@yahoo.com.ar
AR,Café Martínez,Caba,lmcampos@cafemartinez.com.ar
AR,Colegio Lincoln,Caba,primarialincoln@gmail.com
AR,Jardín de Infantes Nucleado A (EPCjs 10/09°) [Sede],Caba,jina_de9@yahoo.com.ar
AR,Instituto Esquiú,Caba,info@colegio-esquiu.com.ar
AR,Colegio del Arce,Caba,colegio@delarce.com.ar
AR,Duque,Caba,info@duquefuegos.com.ar
AR,Escuela Primaria Común 19 Naciones Unidas,Caba,escuela19de15@yahoo.com.ar
AR,Escuela Primaria Común 17 Monseñor Gustavo J. Franceschi,Caba,dep_epc17_de14@bue.edu.ar
AR,Instituto Glaux,Caba,secretaria@glaux.edu.ar
AR,Jardín de Infantes Nucleado E (EPCjs 02/17°) Juana Manso,Caba,jinejuanamanso@gmail.com
AR,Jardín del Pino,Caba,jardindelpino1@hotmail.com
AR,Escuela Primaria Común 04 Provincia de Córdoba,Caba,esc04de9@gmail.com
AR,Instituto Benito Nazar,Caba,info@benitonazar.Escuelaedu.ar
AR,Colegio Nuevo Pensar,Caba,directivosnuevopensar@gmail.com
AR,Jardín de Infantes Nucleado E (EPCjc 05/17°) Juana Manso,Caba,jinejuanamansi@gmail.com
AR,Escuela Primaria Común 01 Doctor Antonio Dellepiane,Caba,dep_epc1_de17@bue.edu.ar
AR,Escuela del Parque,Caba,informes@escueladelparque.com.ar
AR,Instituto Carlos Pellegrini,Caba,institutocarlospellegrini@gmail.com
AR,Colegio Integral Caballito,Caba,secretaria@colegiocaballito.com.ar
AR,Instituto Casa Verde,Caba,greenhouse@speedy.com.ar
AR,Instituto Argentino Excelsior,Caba,excelsior@fibertel.com.ar
AR,Instituto Sara Chamberlain de Eccleston,Caba,ecclest@fibertel.com.ar
AR,Jardín Carita Feliz,Caba,info@jardincaritafeliz.com.ar
AR,Abrahan Lincoln Flores,Caba,lincolnflores00@hotmail.com
AR,Escuela Primaria Común 01 Museo de Bellas Artes Gral. Urquiza,Caba,dep_epc1_de12@bue.edu.ar
AR,Instituto San José de Flores,Caba,secretaria273@yahoo.com.ar
AR,Instituto Social Militar Doctor Dámaso Centeno,Caba,instituto@damasocenteno.edu.ar
AR,Instituto Profesorado Jorge A. Susini,Caba,rlegalinstitutosusini@gmail.com
AR,Escuela Técnica 18 José Antonio Alvarez Condarco,Caba,et18de11@gmail.com.ar
AR,Escuela Miguel Hernandez,Caba,escuelamhernandez@hotmail.com
AR,Instituto América del Sur,Caba,americadelsur@fibertel.com.ar
AR,Escuela Técnica Ort 01,Caba,escuelaort@ort.edu.ar
AR,Rave,Caba,info@restaurantrave.com.ar
AR,Claudio FIGUEIRA propiedades,Caba,info@figueirapropiedades.com.ar
AR,Instituto San José de Villa del Parque,Caba,secretariamediasanjose_up@hotmail.com
AR,"Centro de Alfabetización, Educación Básica y Trabajo 17",Caba,paebyt@gmail.com
AR,Gran Bar Danzón,Caba,danzon@granbardanzon.com.ar
AR,Oui Oui,Caba,info@ouioui.com.ar
AR,Café Martínez,Caba,uruguay463@cafemartinez.com.ar
AR,Café Martínez,Caba,scalabriniortiz@cafemartinez.com.ar
AR,Escuela Primaria Común 25 República de Guatemala,Caba,escuela25de7@yahoo.com.ar
AR,Le Blé,Caba,athomas@leble.com.ar
AR,mundohelado.com,Caba,info@mundohelado.con
AR,Escuela Abierta la Casa del Sol,Caba,escuelaabierta.primaria@gmail.com
AR,Colegio Esteban Echeverría,Caba,e.echeverria@vaneduc.edu.ar
AR,Instituto Horizonte,Caba,info@colegiohorizontes.com.ar
AR,Jardín de Infantes Integral 02/15° Juan M. Coghlan,Caba,jii2de15@gmail.com
AR,Café Martínez,Caba,lima701@cafemartinez.com.ar
AR,Fundación de Altos Estudios en Ciencias Comerciales,Caba,cflorentin@lafundacion.edu.ar
AR,Chispita,Caba,veronica_mancebof@hotmail.com
AR,Granaderos,Caba,farmaciagranaderos@hotmail.com
AR,ESEA en Danza Mastrazzi Curso Vocacional de Danza y Expresión Corporal Infantil 09,Caba,danzasmastrazzi@yahoo.com.ar
AR,La Juvenil,Caba,info@lajuvenilpastas.com.ar
AR,Café Martínez,Caba,diagonal@cafemartinez.com.ar
AR,American Bike,Caba,info@americanbike.com.ar
AR,1810,Caba,1810sucursalbelgrano@gmail.com
AR,Entelequia,Caba,belgrano@entelequia.com.ar
AR,Embajada Real de Tailandia,Caba,thaiembargen@fibertel.com.ar
AR,Café Martínez,Caba,cabildo1253@cafemartinez.com.ar
AR,Hotel Faraón,Caba,info@faraon.com.ar
AR,Biblioteca Popular de Barracas,Caba,info@bibliobarracas.com.ar
AR,Instituto Nuestra Señora de la Misericordia,Caba,secretaria@misericordia.edu.ar
AR,Instituto Padre Luis M. Etcheverry Boneo,Caba,etcheverryboneo@gmail.com
AR,Alvaro Yunque,Caba,biblioteca_yunque@buenosaires.gob.ar
AR,Antonio Devoto,Caba,biblioteca_devoto@buenosaires.gob.ar
AR,Baldomero Fernández Moreno,Caba,biblioteca_fmoreno@buenosaires.gob.ar
AR,Benito Lynch,Caba,biblioteca_lynch@buenosaires.gob.ar
AR,Canónigo Luis Chorroarín,Caba,biblioteca_chorroarin@buenosaires.gob.ar
AR,Casa de la Lectura,Caba,casadelalectura.dgplbc@gmail.com
AR,Enrique Banchs,Caba,biblioteca_banchs@buenosaires.gob.ar
AR,Estanislao Del Campo,Caba,biblioteca_delcampo@buenosaires.gob.ar
AR,Hilario Ascasubi,Caba,biblioteca_ascasubi@buenosaires.gob.ar
AR,Biblioteca Doctor Laureano Rivas Míguez,Caba,biblioteca@cedie.org.ar
AR,Intendente Julio C. Saguier,Caba,biblioteca_saguier@buenosaires.gob.ar
AR,Javier Villafañe,Caba,biblioteca_villafane@buenosaires.gob.ar
AR,Joaquín V. González,Caba,biblioteca_gonzalez@buenosaires.gob.ar
AR,José Hernández,Caba,biblioteca_josehernandez@buenosaires.gob.ar
AR,José Mármol,Caba,biblioteca_marmol@buenosaires.gob.ar
AR,La Prensa,Caba,biblioteca_laprensa@buenosaires.gob.ar
AR,Leopoldo Lugones,Caba,biblioteca_lugones@buenosaires.gob.ar
AR,Manuel Gálvez,Caba,biblioteca_galvez@buenosaires.gob.ar
AR,Mariano Pelliza,Caba,biblioteca_pelliza@buenosaires.gob.ar
AR,Martín del Barco Centenera,Caba,biblioteca_centenera@buenosaires.gob.ar
AR,Rafael Obligado,Caba,biblioteca_obligado@buenosaires.gob.ar
AR,Café Martínez,Caba,av.demayo@cafemartinez.com.ar
AR,Instituto Nuestra Señora del Huerto,Caba,inshmos.medio@gmail.com
AR,Tonel Privado,Caba,info@tonelprivado.com
AR,Jardín de Infantes Común 03/18° El Jardín de la Floresta,Caba,dei_jic3_de18@bue.edu.ar
AR,Jardín de Infantes Nucleado C (EPCjc 11/18°),Caba,jincde18@gmail.com
AR,Escuela Argentina General Belgrano,Caba,info@eag.edu.ar
AR,Eneri,Caba,info@lylyk.com.ar
AR,Café Martínez,Caba,balcarce@cafemartinez.com.ar
AR,Daniel,Caba,info@heladosdaniel.com.ar
AR,Café del Arbol,Caba,cafedelarbol.santelmo@gmail.com
AR,El Eco Gourmet,Caba,quiero@elecogourmet.com.ar
AR,Café Martínez,Caba,pampa@cafemartinez.com.ar
AR,Etc Etc,Caba,info@hoteletc.com.ar
AR,Mi Barrio Hamburguesería,Caba,mibarriohamburgueseria@gmail.com
AR,Farmapal,Caba,farmapal@fibertel.com.ar
AR,Odontología,Caba,consultorio.mhg@gmail.com
AR,Buenos Aires Bakery,Caba,info@buenosairesbakery.com.ar
AR,Real Web,Caba,info@realweb.com.ar
AR,Escuela Infantil 06/10° Madre Eufrasia Iaconis,Caba,ei6_10@yahoo.com.ar
AR,Reale,Caba,reale.gourmet@gmail.com
AR,Centro Educativo Arquidiocesano Espíritu Santo,Caba,info@ceaes.edu.ar
AR,Zelmerex,Caba,info@zelmerex.com
AR,Reparacion y Servicio Tecnico,Caba,budaservices@gmail.com
AR,Embajada de Israel,Caba,info@buenosaires.mfa.gov.il
AR,Brujas Disco-Bar,Caba,brujasdisco@live.com.ar
AR,Siamo Nel Forno,Caba,siamonelforno@gmail.com
AR,VCTARGENTINA,Caba,ventas@vctargentina.com.ar
AR,Villa Devoto School,Caba,vdevoto@vdevoto.Escuelaedu.ar
AR,Enfundá la mandolina,Caba,enfunda2012@yahoo.com.ar
AR,Casal de Catalunya,Caba,info@casal.org.ar
AR,Chikylu,Caba,babychikylu@gmail.com
AR,Cendas,Caba,eventos@cendas.com.ar
AR,Instituto Bayard,Caba,secretaria.secundario@bayard.Escuelaedu.ar
AR,La Nueva Eclipse,Caba,eclipse_remis@yahoo.com
AR,CoinMelon,Caba,info@coinmelon.com
AR,Global Vip Transfer S.A.,Caba,reservas@global-vip-transfer.com
AR,Escuela Infantil 04/17°,Caba,dei_ei4_de17@bue.edu.ar
AR,Café Martínez,Caba,cmcallao858@cafemartinez.com.ar
AR,La Madonnina,Caba,info@lamadonninaresto.com.ar
AR,Johnny B. Good,Caba,pmadero@jbgood.com
AR,Milenio III,Caba,mileniocollege2000@yahoo.com.ar
AR,Instituto Río de la Plata,Caba,secundaria@colegioriodelaplata.edu.ar
AR,Consultorio Psicológico (Lic. Roberto Martínez) Psicoanalista,Caba,rmarthz@gmail.com
AR,Colegio 12 Reconquista,Caba,dem_col12_de15@bue.edu.ar
AR,Librería Esotérica Arcángel Rafael,Caba,libreria@arcangelrafael.com.ar
AR,BsAs sound,Caba,bsas_sound@hotmail.com
AR,Il Bruno Pasta & Pizza Napoletana,Caba,ilbrunoar@gmail.com
AR,Instituto José Ingenieros,Caba,jingenieros@clubosn.com.ar
AR,GIN TONIC CLOTHING,Caba,gintonicshowroom@gmail.com
AR,Locutorio Aguero,Caba,locutorioaguero@gmail.com
AR,Café Martínez,Caba,cordoba2677@cafemartinez.com.ar
AR,El Jardín de los Mirasoles,Caba,jardinmirasoles@gmail.com
AR,Colegio Nuevo Guido Spano,Caba,info@colegioguidospano.com
AR,LAB New American Cuisine & Coffee Shop,Caba,info@labcafe.com.ar
AR,Zenergia SRL,Caba,info@zenergia.com.ar
AR,Sanatorio Otamendi y Miroli,Caba,rrpp@otamendi.com.ar
AR,Moderno Bazar,Caba,web@modernobazar.com
AR,"CENOF D.E. 06 ""Centro Municipal del Tango"" - Escuela Primaria 12/06°",Caba,cnf.cetba@bue.edu.ar
AR,Bloomes,Caba,piazembo@hotmail.com
AR,Instituto de Recreación Infantil Mi Casita,Caba,escuela@micasitapeldanos.edu.ar
AR,1810,Caba,1810palermo@gmail.com
AR,Milion,Caba,info@milion.com.ar
AR,TGI Friday's,Caba,contacto@tgifridaysargentina.com.ar
AR,Café Martínez,Caba,santafe928@cafemartinez.com.ar
AR,Circe - Libros Tesoro,Caba,biblioteca_circe@buenosaires.gob.ar
AR,Casa Chimi,Caba,casachimi@hotmail.com
AR,Café Martínez,Caba,hortiguera@cafemartinez.com.ar
AR,"Escuela para Niños, Niñas y Jóvenes con Pluridiscapacidad 26 Doctor Jorge Garber",Caba,eee26_de9@bue.edu.ar
AR,Le Pain Quotidien,Caba,info@lepainquotidien.com.ar
AR,Escuela de circo La Arena,Caba,info@circoarena.com.ar
AR,Basta de Lobby,Caba,palermo@bastadelobby.com
AR,Café Martínez,Caba,hitaliano@cafemartinez.com.ar
AR,Casa Temple,Caba,palermo@thetemplebar.com.ar
AR,Colegio Francesco Faà Di Bruno,Caba,info@faadibruno.edu.ar
AR,Centro de Educación Creativa La Aldea del Buen Ayre,Caba,laaldeadelbuenayre@hotmail.com
AR,Escuela Infantil La Tortuga Juanola,Caba,latortugajuanola@hotmail.com
AR,Escuela de Educacion Media 05/15°,Caba,eem5de15@gmail.com
AR,Jardín de Infantes Integral 04/14,Caba,dei_jii4_de14@bue.edu.ar
AR,Jardín de Infantes Nucleado C (EPCjs 08/11°) Herminia Brumana,Caba,dei_jinc10_de11@bue.edu.ar
AR,Jardín de Infantes Nucleado B (EPCjc 10/04°),Caba,dei_jinb_de4@bue.edu.ar
AR,Escuela Primaria Común 21 Almirante Segundo R. Storni,Caba,dep_epc21de14@bue.edu.ar
AR,Escuela Primaria Común 11 Doctor Enrique Mosca,Caba,dep_epc11_de14@bue.edu.ar
AR,Instituto Nuestra Señora del Huerto,Caba,administracion@inshuertorincon.edu.ar
AR,Tienda Consol,Caba,floresta@tiendaconsol.coop
AR,Jardín de Infantes Nucleado C (EPCjc 15/18°) [Sede],Caba,jincd.e18@gmail.com
AR,Ciclo Básico de Formación Ocupacional 03 Olga Cossettini,Caba,dem_cbo3_de10@bue.edu.ar
AR,Electro Fashion,Caba,info@electrofashion.com
AR,Persistir Pilchas,Caba,persistir.pilchas@gmail.com
AR,Escuela Primaria Común 03 Doctor Onésimo Leguizamón,Caba,escpri3de1@gmail.com
AR,Bellaria,Caba,info@bellariaweb.com
