Empresa;CUIT;Expte;Calle;Nro;Piso;Dpto;CPA;Localidad;Provincia;Telefono;RegComercializacion;RegFabricacion;Dispo;FechaDispo;Vence
(J & M) SEGURIDAD Y SISTEMAS S.A.;33-66446972-9;EXPCNC E 15121/1998;PRES. LUIS SAENZ PEÑA;579;10º       ;B   ;C1110AAK;CABA;CIUDAD DE BUENOS AIRES;(011  )5020-4493;30-1989;0;1372 GI/2014;06/05/2014;06/05/2017
(J & M) SEGURIDAD Y SISTEMAS S.A.;33-66446972-9;EXPCNC E 15121/1998;SAAVEDRA;669;          ;    ;B6640ETM;BRAGADO;BUENOS AIRES;(02342)43  -0004;30-1989;0;1372 GI/2014;06/05/2014;06/05/2017
3COM INTERNATIONAL INC.;30-68081469-0;EXPCNC E 5998/1999;BARTOLOME MITRE;226;5°        ;    ;C1036AAD;CABA;CIUDAD DE BUENOS AIRES;(011  )4331-8191;30-1345;0;92 GI/2009;08/01/2009;08/01/2012
3M ARGENTINA S.A.C.I.F.I.A.;30-52999439-3;EXPCNC 11097/2011;BELGRANO;624;10;    ;C1092ATT;CABA;CIUDAD DE BUENOS AIRES;(011  )4342-2662;30-2139;0;472 DINAPTIC/2015;29/10/2015;29/10/2018
3M ARGENTINA S.A.C.I.F.I.A.;30-52999439-3;EXPCNC 11097/2011;COLECTORA OESTE DE PANAMERICANA;576;          ;    ;1619;GARIN;BUENOS AIRES;(0348 )465 -9415;30-2139;0;472 DINAPTIC/2015;29/10/2015;29/10/2018
3TECH S.R.L.;30-70830902-4;EXPCNC 1344/2004;CALLE 48;632;3°        ;39;B1900AMZ;LA PLATA;BUENOS AIRES;(0221 )445 -0245;30-1476;0;869 GI/2004;11/03/2004;11/03/2007
3TECH S.R.L.;30-70830902-4;EXPCNC 1344/2004;JOSE LEON CABEZON;2980;          ;    ;C1419FCH;CABA;CIUDAD DE BUENOS AIRES;(011  )9999-9999;30-1476;0;869 GI/2004;11/03/2004;11/03/2007
3V TECH S.A.;30-71254748-7;;THAMES;3170;          ;    ;1754;SAN JUSTO;BUENOS AIRES;;0;02-309;4126 SU/1985;18/06/1985;18/06/1988
A.G. SOLUTIONS S.R.L.;30-70849746-7;EXPCNC 10436/2006;COSTA JULIO A;440;1;    ;B2800CJJ;ZARATE;BUENOS AIRES;(03487)42  -7249;30-1606;0;23 gi/2007;08/01/2007;08/01/2010
A.G. SOLUTIONS S.R.L.;30-70849746-7;EXPCNC 10436/2006;PARANA;785;8;B   ;C1017AAO;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4374-9986;30-1606;0;23 gi/2007;08/01/2007;08/01/2010
A.V.G. ELECTRONICA S.R.L.;30-59203634-3;;INOCENCIO PIERES;386;          ;    ;C1408HDF;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;(011  )4641-8113;0;02-322;2730 CN/1992;28/08/1992;28/08/1995
A.V.H. SAN LUIS S.A.;30-61203284-6;EXPCNC 16602/2014;109 Y 5 (PARQUE INDUSTRIAL NORTE);S/N;          ;    ;5700;SAN LUIS;SAN LUIS;(0266 )442 -2681;30-2410;0;1245 APN-DNAYRT#ENACOM/2018;06/03/2018;06/03/2021
A.V.H. SAN LUIS S.A.;30-61203284-6;EXPCNC 16602/2014;DEHEZA;3189;          ;    ;1429;CABA;CIUDAD DE BUENOS AIRES;(011  )4702-2752;30-2410;0;1245 APN-DNAYRT#ENACOM/2018;06/03/2018;06/03/2021
A1-TEC S.A.;30-70951849-2;EXPCNC 8881/2006;11 DE SEPTIEMBRE;2862;1;A   ;C1429BIB;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4115-4675;30-1597;0;4763 GI/2006;17/11/2006;17/11/2009
ABASTO S.A.;30-63385955-4;EXPCNT 5162/1994;VILARDEBO;1731;          ;A   ;8888;NO ESPECIFICADA;NO ESPECIFICADA;;30-1218;0;1301 CN/1994;13/07/1994;13/07/1997
ABB S.A.U.;30-50394816-4;EXPCNC 713/2013;JOSE IGNACIO RUCCI;1051;          ;    ;B1822CJU;VALENTIN ALSINA;BUENOS AIRES;(011  )6026-5337;30-3041;02-683;3301 -APN-DNLAYR#ENACOM/2025;07/11/2025;07/11/2028
ABB S.A.U.;30-50394816-4;EXPCNC 713/2013;LEANDRO N. ALEM;822;          ;    ;1001;CABA;CIUDAD DE BUENOS AIRES;(011  )4229-5888;30-3041;02-683;3301 -APN-DNLAYR#ENACOM/2025;07/11/2025;07/11/2028
ABBOTT LABORATORIES ARGENTINA S.A.;30-50084630-1;EX- -APN-REYS#ENACOM 119643384/2021;AV VALENTIN VERGARA;7989;          ;    ;1891;INGENIERO JUAN ALLAN;BUENOS AIRES;;30-3032;0;773 APN-DNLAYR#ENACOM/2025;24/09/2025;24/09/2028
ABBOTT LABORATORIES ARGENTINA S.A.;30-50084630-1;EX- -APN-REYS#ENACOM 119643384/2021;BUTTY ING ENRIQUE;240;13;    ;1001;CABA;CIUDAD DE BUENOS AIRES;;30-3032;0;773 APN-DNLAYR#ENACOM/2025;24/09/2025;24/09/2028
ABC 1 TECHNOLOGY S.A.;30-71045087-7;EXPCNC 3941/2009;GARCIA SILVA INTE;1094;          ;    ;B1708DYT;MORON;BUENOS AIRES;(011  )4629-9340;30-1740;0;2948 GI/2012;24/08/2012;24/08/2015
ABC 1 TECHNOLOGY S.A.;30-71045087-7;EXPCNC 3941/2009;MOREAU DE JUSTO ALICIA;1780;3;A   ;C1107AFJ;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4363-9850;30-1740;0;2948 GI/2012;24/08/2012;24/08/2015
ABC ACCESORIOS S.R.L.;30-69291999-4;EX- -APN-REYS#ENACOM 13735984/2024;SUNCHALES;742;          ;    ;1416;CABA;CIUDAD DE BUENOS AIRES;(011  )4993-6068;30-2914;0;2023 -APN-DNAYRT#ENACOM/2024;27/02/2024;27/02/2027
ABEPRO S.R.L.;30-70964044-1;EXPCNC 7899/2006;SAN ALBERTO OBISPO;3736;          ;    ;C1419FFX;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4503-2516;30-1757;0;3738 GI/2009;15/10/2012;15/10/2015
ABSOLUT MOBILE S.A.;30-71222996-5;EXPCNC 9516/2013;MIGUELETES;1188;4º        ;A   ;C1426BUP;CABA;CIUDAD DE BUENOS AIRES;(011  )4773-7094;30-2695;02-606;813 APN-DNAYRT#ENACOM/2021;08/03/2021;08/03/2024
ACEGAME S.A.;33-68851288-9;EXPCNC 655/2005;JOSE IGNACIO GORRITI;4539;          ;    ;C1414BJG;CABA;CIUDAD DE BUENOS AIRES;(011  )4833-6000;30-3129;0;9427 APN-DNLAYR#ENACOM/2026;07/08/2026;01/01/2099
ACER ARGENTINA S.A.;33-67659760-9;EXPCNT 6487/1994;SASTRE DR MARCOS;3620;          ;    ;B1606DHB;CARAPACHAY;BUENOS AIRES;(011  )4766-1223;30-1219;0;1627 CN/1994;17/08/1994;17/08/1997
ACERTA S.R.L.;30-71505926-2;EX- -APN-SDYME#ENACOM 61964099/2018;AVDA. MANUEL MONTES DE OCA;1764;6º        ;A   ;C1270ABR;CABA;CIUDAD DE BUENOS AIRES;(011  )6593-1603;30-2803;0;3332 APN-DNAYRT#ENACOM/2022;15/06/2022;15/06/2025
ACERTA S.R.L.;30-71505926-2;EX- -APN-SDYME#ENACOM 61964099/2018;BERNARDO DE IRIGOYEN;190;3º        ;B   ;1072;CABA;CIUDAD DE BUENOS AIRES;;30-2803;0;3332 APN-DNAYRT#ENACOM/2022;15/06/2022;15/06/2025
ACRON S.A.;30-66178444-6;EXPCNC 3453/2002;BELGRANO MANUEL;1683;2;    ;C1093AAE;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )5941-2500;30-1424;0;2957 GI/2002;30/07/2002;30/07/2005
ACRON S.A.;30-66178444-6;EXPCNC 3453/2002;IRALA;1920;8;18;C1164ACR;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )5941-2500;30-1424;0;2957 GI/2002;30/07/2002;30/07/2005
ACRON S.A.;30-66178444-6;EXPCNC 3453/2002;IRALA;1920;8;18;C1164ACR;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;(011  )5941-2500;30-1424;0;2957 GI/2002;30/07/2002;30/07/2005
ACRONEX S.R.L.;33-71505130-9;EX- -APN-REYS#ENACOM 123185022/2022;PIERES;266;6;B   ;1408;CABA;CIUDAD DE BUENOS AIRES;;0;02-640;5180 APN-DNLAYR#ENACOM/2025;11/12/2025;11/12/2028
ACRONEX S.R.L.;33-71505130-9;EX- -APN-REYS#ENACOM 123185022/2022;RN 68 PARQUE TECNOLOGICO DEL LITORAL CENTRO;0;          ;    ;3000;SANTA FE;SANTA FE;(0342 )471 -0275;0;02-640;5180 APN-DNLAYR#ENACOM/2025;11/12/2025;11/12/2028
ADANK 9298 S.R.L.;30-71099579-2;EX- -APN-SDYME#ENACOM 39502282/2018;AVDA. ANGEL GALLARDO;63;3º        ;12;C1405DJA;CABA;CIUDAD DE BUENOS AIRES;(011  )4855-4016;30-3065;0;1391 APN-DNLAYR#ENACOM/2026;15/01/2026;15/01/2029
ADB BROADBAND ARGENTINA S.A.;33-64328360-9;EXPCNC 5693/2008;GODOY CRUZ;3236;          ;    ;1425;CABA;CIUDAD DE BUENOS AIRES;(011  )5272-1159;30-2065;0;517 GI/2015;13/02/2015;13/02/2018
