Estado de la empresa,RUT,Código CIIU principal,Descripción Código CIIU principal,Denominación Social,Nombre comercial,Dirección Estab. Principal ,Departamento Estab. Principal,Número de teléfono,Email público,Sitio web,Fec. Registro
Vigente,219877980016,11040,Elaboración de bebidas no alcohólicas,RODRIGUEZ ARISTIMUIÑO MAICOL MATHIAS Y SALVO DAVIES FACUNDO,DEL MAR KOMBUCHA,SILVIO CARSOSO SIN NUMERO,S/D,091222203,delmarkombucha@gmail.com,www.delmarkombucha.com,2026-06-08
Vigente,213534080019,13920,"Fabricación de artículos confeccionados con materiales textiles, excepto prendas de vestir",SINDATEL SA,SINDATEL S.A.,BURGUES 2887,MONTEVIDEO,22090205,info@sindatel.com.uy,S/D,2025-01-14
Vigente,219577980010,62020,Actividades de consultoría informática y actividades de administración de medios informáticos,OEHLER IT SAS,S/D,LOS ARCES 7605,MONTEVIDEO,24070000,INFO@SEGALERBA.COM.UY,S/D,2025-09-25
Vigente,110127130016,45201,Mantenimiento y reparación mecánica y eléctrica de vehículos,GRANJA GONZALEZ JUAN DARIO,GRANJA GONZALEZ JUAN DARIO,ITURRIA 1254,CANELONES,22921290,estudiofmartinez@gmail.com,S/D,2025-05-02
Vigente,210312110014,10749,Elaboración de pastas frescas,FABRICA DE PASTAS LA ESPECIALISTA S A,FABRICA DE PASTAS LA ESPECIALISTA SA,S/D,S/D,S/D,laespecialista@laespecialista.com.uy,www.laespecialista.com.uy,2026-06-11
Vigente,219806310018,62010,Actividades de programación informática,DISRUPTION CRAFTERS SAS,S/D,18 de Julio 1461,MALDONADO,24070000,INFO@SEGALERBA.COM.UY,S/D,2024-12-10
Vigente,218236270015,62010,Actividades de programación informática,CEDARCODE SRL,CEDARCODE,LUIS FRANZINI 1005,MONTEVIDEO,27149390,INFO@SEGALERBA.COM.UY,S/D,2025-06-06
Vigente,218960380014,11020,Elaboración de vinos,BODEGAS Y VIÑEDOS FAMIGLIA PASSADORE S.A.S.,BODEGAS Y VIÑEDOS FAMIGLIA PASSADORE S.A.S.,MAYO GUTIERREZ CESAR 2211,MONTEVIDEO,29156712,esudio@legelensalles.com,S/D,2025-08-15
Vigente,040380260017,10501,Elaboración de productos lácteos en general,ESTABLECIMIENTO NICANT S.R.L.,Establecimiento Nicant,Ruta 53 a 5 Km. de N. Helvecia Km a 5 Km. de n. Helvecia,S/D,099927453,administracion@estudiocourdin.com.uy,S/D,2026-05-28
Vigente,220411340015,10712,Elaboración de productos de confitería,BARLOVENTO URUGUAY SAS,S/D,S/D,S/D,S/D,barloventouruguay@gmail.com,S/D,2025-08-14
Vigente,213135450017,32120,Fabricación de joyas de imitación y artículos conexos,MATEBOM S R L,MATEBOM SRL,Calle Teofilo Collazo 2623,S/D,25060269,matebom@vera.com.uy,WWW.MAATEBOM.COM,2026-06-05
Vigente,214388100012,25910,"Forja, prensado, estampado y laminado de metales",SICONEL LTDA,Distrimet,Pedro de Valdivia 5357,S/D,099979143,joaquin.mut@amconsulting.com.uy,https://distrimet.com.uy/,2026-06-09
Vigente,213658080010,31006,Fabricación de colchones y somieres,LAMITEX S A.,LAMITEX S.R.L.,S/D,S/D,S/D,lamitex@lamitex.com.uy,www.lamitex.com.uy,2025-08-12
Vigente,150122830019,28210,Fabricación de maquinaria agropecuaria y forestal,MANSILLA PEREIRA NESTOR GERARDO,IBG MAQUINARIA AGRICOLA,S/D,ROCHA,099871550,torneriamansilla@hotmail.com,www.ibgmaquinariaagricola.com,2025-07-29
Vigente,150153520011,10200,"Procesamiento y conservación de pescados, crustáceos y moluscos",ACOSTA REYES HEBER RICARDO,Ana Carolina,Avda Los Pescadores 8,S/D,099867913,escritoriovaselli@hotmail.com,S/D,2026-05-28
Vigente,219446480014,25999,Fabricación de otros productos de metal n.c.p.,ALUMINIOS OLIVER HNOS SAS,ALUMINIOS OLIVER,ITALIA 4102,S/D,095016526,jennifferoliver054@gmail.com,S/D,2026-05-08
Vigente,120388670011,25110,Fabricación de productos metálicos para uso estructural,MECANOSYM SAS,MECANOSYM SAS,JUSTA ROSAS DE BALSAMO 1025,TACUAREMBÓ,092990288,contacto@mecano.uy,https://www.mecano.uy/,2025-08-07
Vigente,214089920018,28210,Fabricación de maquinaria agropecuaria y forestal,HARTWICH GARCEN GUILLERMO FEDERICO,HARTWICH INGENIERIA,TREINTA Y TRES 3544,S/D,099567055,HARTWICH.INGENIERIA@GMAIL.COM,S/D,2026-06-03
Vigente,218456880017,20220,"Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas",PINTURAS PUENTE SRL,Pinturas Puente SRL,S/D,MONTEVIDEO,094018729,pinturasuma@gmail.com,"pinturasuma.com,uy",2025-08-18
Vigente,219014650014,46632,Comercio al por mayor de materiales de construcción,REDOMON GROUP SAS,Redomon Group,S/D,S/D,S/D,redomongroupsas@gmail.com,https://www.redomongroup.com/,2025-09-19
Vigente,210816120013,20290,Fabricación de otros productos químicos n.c.p.,ENZUR S A,ENZUR SA,CAMINO FRANCISCO LECOCQ 1241,S/D,23201221,enzur@enzur.com,www.enzur.com,2026-06-05
Vigente,219178810014,62020,Actividades de consultoría informática y actividades de administración de medios informáticos,MC DEV SOLUTIONS SAS,S/D,19 DE ABRIL 843,MONTEVIDEO,24070000,INFO@SEGALERBA.COM.UY,S/D,2024-12-03
Vigente,218479280016,23100,Fabricación de vidrio y de productos de vidrio,SILVA VELAZQUEZ DIEGO GERMAN Y MUJICA BALDION MARCOS GABRIEL,DRONE.UY,Av Italia 6201,MONTEVIDEO,098556046,info@drone.uy,www.drone.uy,2025-07-31
Vigente,020527390016,11020,Elaboración de vinos,SANTERO MARTINEZ ANA INES,QUINTA SANTERO,Ruta 33 Km 28 Km 28,CANELONES,22966654,quintasantero@gmail.com,www.bodegaquintasantero@gmail.com,2025-08-13
Vigente,218439630016,31001,Fabricación de muebles de madera,CURBELO GONZALEZ PABLO GABRIEL,Pablo Curbelo Gonzalez,DR.GUSTAVO GALLINAL 1614,MONTEVIDEO,099154203,proa.montevideo@gmail.com,https://instagram.com/proa.montevideo?igshid=OGQ5ZDc2ODk2ZA==,2025-08-13
Vigente,190211030017,10711,"Elaboración de pan, productos panificados en forma tradicional",PEREIRA BARRERA LILIANA YICEL,La Nona,Pasaje 824,S/D,091204983,llistur1@gmail.com,S/D,2026-06-08
Vigente,170313640014,72100,Investigación y desarrollo experimental en el campo de las ciencias naturales y la ingeniería,BENTEN BIOTECH SRL,BENTEN BIOTECH SRL,AV ITALIA 6201,MONTEVIDEO,094862777,info@bentenbiotech.com,https://www.bentenbiotech.com/,2025-08-19
Vigente,219808100010,62010,Actividades de programación informática,APERTURE SAS,S/D,Maipu 1925,MONTEVIDEO,24070000,info@segalerba.com.uy,S/D,2025-09-15
Vigente,219079530013,31001,Fabricación de muebles de madera,TROYMEL S.A.,S/D,Murillo 2640,MONTEVIDEO,25255868,info@labuonora.com.uy,S/D,2025-08-15
Vigente,219909340017,62010,Actividades de programación informática,INTERAPPS SAS,S/D,Leandro Gómez Pad 13067 s/n,MALDONADO,42258184,rdeleon@estudiocontable.com.uy,S/D,2024-11-13
Vigente,110399860014,10711,"Elaboración de pan, productos panificados en forma tradicional",DE LA ABUELA SAS,DE LA ABUELA SAS,SAN BAUTISTA 1,S/D,43992971,estudiofmartinez@gmail.com,S/D,2026-04-27
Vigente,170134340016,10501,Elaboración de productos lácteos en general,PIMOR S.R.L,PIPPO`S,CAMINO DE LA COSTA 0,S/D,43420554,lacteospippos@gmail.com,www.pippos.com.uy,2026-06-04
Vigente,110406530010,10750,Elaboración de comidas y platos preparados,TORBES ARANDA LUCIA,S/D,Camino del andaluz 26,CANELONES,097812332,estudiofmartinez@gmail.com,S/D,2025-09-19
Vigente,217877970014,10719,Elaboración de otros productos panificados realizados en fábricas,BUDDHAKISS SRL,Budakiss,Ruta Interbalnearia Km 0,MALDONADO,092684663,portezuelolocal@budakiss.com,budakiss.com,2025-08-15
Vigente,212690760015,10120,Elaboración de fiambres y chacinados,SINDON S A,DOÑA COCA,S/D,S/D,S/D,administracion@doniacoca.com.uy,www.doniacoca.com.uy,2025-08-07
Vigente,220213480015,10300,Procesamiento y conservación de frutas y vegetales,GRUPO FAM SAS,COCINA NATURAL,Zelmar Michelini 1290/4,S/D,099771795,mmoreira@ox.com.uy,S/D,2026-05-27
Vigente,110316360019,25921,Talleres de tornería,SCARSI LINDNER GASTON EMILIO,S/D,Ruta 75 Km 0,CANELONES,098793872,estudiofmartinez@gmail.com,S/D,2025-09-03
Vigente,210576470015,16102,"Aserrado, cepillado y trabajo a máquina de la madera.",CAJA DE JUBILACIONES Y PENSIONES BANCARIAS,Caja de Jubilaciones y Pensiones Bancarias,S/D,PAYSANDÚ,47472058,info@forestalbancaria.com.uy,https://forestalbancaria.com.uy,2025-05-16
Vigente,150411930012,62010,Actividades de programación informática,MUÑOZ SARALEGUI CAMILA CATALINA,S/D,18 de Julio 1141,CANELONES,098070237,adm@ideasweb.uy,S/D,2025-09-01
Vigente,110391050013,16102,"Aserrado, cepillado y trabajo a máquina de la madera.",PARODI GONZALEZ LUIS RAUL,PARODI GONZALEZ LUIS RAUL,Localidad villa olmos sn,S/D,094145842,estudiofmartinez@gmail.com,S/D,2026-04-27
Vigente,216488720019,71103,Servicios de ingeniería,DUARTE MORAES JOSE IGNACIO,S/D,JOSE VAZQUEZ LEDESMA 2871,MONTEVIDEO,29159979,finance.pyxis@rb.uy,S/D,2025-10-28
Vigente,217604870016,70209,Otras actividades de administración y consultoría de administración de empresas,PEREGRINUS CONSULTING SAS,PEREGRINUS CONSULTING SAS,Timote 5022,MONTEVIDEO,24070000,info@segalerba.com.uy,www.peregrinus.com.uy,2024-12-04
Vigente,120046980017,11020,Elaboración de vinos,FALCONE LOPARDO LEONARDO JOSE,FALCONE LOPARDO LEONARDO JOSE,"FERREIRA ALDUNATE, WILSON 0",PAYSANDÚ,47227718,bodegaleonardofalcone@gmail.com,www.bodegaleonardofalcone.com.uy,2025-08-21
Vigente,060037920018,10711,"Elaboración de pan, productos panificados en forma tradicional",MODELO S R L,S/D,WILSON FERREIRA 510,FLORES,099366066,emanz1559@gmail.com,S/D,2025-07-22
Vigente,220160870019,62010,Actividades de programación informática,NEODEV SAS,S/D,buschental 357,CANELONES,24070000,info@segalerba.com.uy,S/D,2025-09-25
Vigente,219254390017,62010,Actividades de programación informática,AUDEASOMNIA CONSULTING SAS,AUDEASOMNIA CONSULTING SAS,LIBERTADOR LAVALLEJA 1748,MONTEVIDEO,24700000,info@segalerba.com.uy,S/D,2024-12-03
Vigente,216586890016,33200,Instalación de maquinaria y equipo industrial,CAPELLI MARTINEZ MAURICIO DANIEL,D.CAPELLI,Camino Sere 1742,MONTEVIDEO,092216581,m.capelli82@gmail.com,S/D,2025-07-31
Vigente,213801270019,22209,Fabricación de otros productos de plástico n.c.p.,DAFYLMAR S A,DAFYLMAR SA,RAMON CASTRIZ 2629,S/D,098364707,ADMINISTRACION@DAFYLMAR.COM,S/D,2026-07-22
Vigente,213387890011,10750,Elaboración de comidas y platos preparados,DELOMAR S A,LA Martina,Luis Batlle Berres 9227,MONTEVIDEO,23150421,info@lamartina.com.uy,www.lamartina.com.uy,2025-08-12
Vigente,110436520013,14104,Fabricación de prendas de vestir de trabajo,PANDA SOLUCIONES EMPRESARIALES SAS,PANDA SOLUCIONES EMPRESARIALES,EMILIO ANDREN 425,CANELONES,23626123,PANDASOLUCIONESEMPRESARIALES@GMAIL.COM,http://pandasolucionesempresariales.uy/,2025-08-14
Vigente,200107590010,31001,Fabricación de muebles de madera,MEDINA PIÑEIRO JAMINTON NESTOR,Jaminton Medina Aberturas en Aluminio,Flores Mora e Ituizaingó Padrón 8576 s/n,S/D,099033755,jnmp33@gmail.com,https://www.instagram.com/jamintonmedina_carpinteria/,2026-06-10
Vigente,218283980015,46631,Comercio al por mayor de madera,HD CARPINTERIA Y MADERAS LTDA,HD CARPINTERÍA Y MADERAS,"Av. GIANNATTASIO, KM 28.200",S/D,099185899,info@cardozomarkoff.com.uy,S/D,2026-05-28
Vigente,080022140016,10300,Procesamiento y conservación de frutas y vegetales,PANCINI INDUSTRIAL DEL SAUCE S A,PANCINI INDUSTRIAL DEL SAUCE S.A.,N 107 1,S/D,22940223,info@lagranjera.com.uy,www.lagranjera.com.uy,2026-05-25
Vigente,218976140018,13130,Acabado de productos textiles,BURGOS VIERA GIMENA,Burgos Textile,Sarandí 413 B,S/D,099848095,hello@burgostextile.com,https://www.burgostextile.com/,2026-05-25
Vigente,217033450010,22203,Fabricación de productos de plástico moldeado,ECOFLASH S.A,S/D,Carlos Roxlo y Paralela 7 00,CANELONES,23659313,ecoflashsa@gmail.com,S/D,2025-08-18
Vigente,160345420012,10719,Elaboración de otros productos panificados realizados en fábricas,CELISANO SAS,CELISANO,Rivera 784,SALTO,099741318,carolina.borghi@celisano.com.uy,celisano.com.uy,2025-08-18
Vigente,020584100013,10509,Elaboración de helados,"REYES KSIONZEK JONATHAN ADRIAN, REYES HUTTON FREDI WILMER Y OTROS",Mondo Gelato,Av Giannattasio 5913,CANELONES,098315003,admin@mondogelato.uy,mondogelato.uy,2025-07-21
Vigente,216909450012,11020,Elaboración de vinos,LA ALCANDARA  SRL,S/D,Camino vecinal El Arbolito 1,ROCHA,+1 (786) 570-2300,administracion@mcconsultores.com.uy,S/D,2025-03-07
